Date,Time,Temperature (°C),Humidity (%),Wind Speed (m/s),Spraying Condition
2025-03-01,06:00:00,19.9816047538945,23.278065200058336,1.249423310737715,Marginal Condition
2025-03-01,06:30:00,43.02857225639664,78.38468977833998,4.937795587776627,Non-Ideal Condition
2025-03-01,07:00:00,34.2797576724562,33.56751987498032,4.1938205416840795,Non-Ideal Condition
2025-03-01,07:30:00,28.946339367881464,38.25192317817685,1.7666478610291372,Ideal Condition
2025-03-01,08:00:00,11.24074561769746,38.23655073530164,0.8153091307453526,Non-Ideal Condition
2025-03-01,08:30:00,11.239780813448107,33.824999727040996,0.7548150081990112,Non-Ideal Condition
2025-03-01,09:00:00,7.323344486727978,20.088429325178684,1.0417016727749022,Marginal Condition
2025-03-01,09:30:00,39.647045830997406,63.76068764527978,3.1134586262648973,Marginal Condition
2025-03-01,10:00:00,29.04460046972835,78.01072998795712,4.679435395424716,Non-Ideal Condition
2025-03-01,10:30:00,33.32290311184182,33.4576089971027,2.7353454260269303,Marginal Condition
2025-03-01,11:00:00,5.823379771832098,59.78283150820535,4.293254671052887,Non-Ideal Condition
2025-03-01,11:30:00,43.79639408647977,64.51377961752291,2.506489789369135,Marginal Condition
2025-03-01,12:00:00,38.29770563201687,70.90552274543148,3.6886259559552137,Non-Ideal Condition
2025-03-01,12:30:00,13.493564427131046,45.357751820816546,3.793427317789254,Non-Ideal Condition
2025-03-01,13:00:00,12.272998688284025,38.17585433842575,1.2828366765650239,Ideal Condition
2025-03-01,13:30:00,12.336180394137353,39.517708041381866,2.125472265391153,Ideal Condition
2025-03-01,14:00:00,17.16968971838151,62.75727998591077,3.3678597044211074,Non-Ideal Condition
2025-03-01,14:30:00,25.990257265289515,69.00676799033816,0.8181347368296479,Non-Ideal Condition
2025-03-01,15:00:00,22.27780074568463,30.89683806539616,2.1269308449333044,Ideal Condition
2025-03-01,15:30:00,16.649165607921677,42.25646048946591,2.9065975982653662,Ideal Condition
2025-03-01,16:00:00,29.47411578889518,74.116411804949,4.9830102187008745,Non-Ideal Condition
2025-03-01,16:30:00,10.579754426081674,68.40161118168436,2.635401031800983,Non-Ideal Condition
2025-03-01,17:00:00,16.685785941408724,79.09150416574855,4.172255407014456,Non-Ideal Condition
2025-03-01,17:30:00,19.654473731747668,65.25489558092485,2.44430278279978,Ideal Condition
2025-03-01,18:00:00,23.24279936868144,43.59171206167534,4.08375825178869,Non-Ideal Condition
2025-03-01,18:30:00,36.407038455720546,55.438270039678265,3.179366607290488,Marginal Condition
2025-03-01,19:00:00,12.986951286334389,59.66085525483922,4.489679486760792,Non-Ideal Condition
2025-03-01,19:30:00,25.569377536544465,24.707348979027437,2.3492414855754946,Marginal Condition
2025-03-01,20:00:00,28.6965827544817,52.669817546231904,3.219369889196655,Non-Ideal Condition
2025-03-01,20:30:00,6.858016508799909,62.559249708356575,3.3350840627847234,Non-Ideal Condition
2025-03-01,21:00:00,29.301794076057533,30.039278240063624,2.3782232381021298,Ideal Condition
2025-03-01,21:30:00,11.82096494749166,66.83790304553344,1.1494041965936668,Non-Ideal Condition
2025-03-01,22:00:00,7.602063719411181,55.0263668308467,0.92101733110551,Non-Ideal Condition
2025-03-01,22:30:00,42.95542149013333,77.13330714185568,0.575021977698349,Non-Ideal Condition
2025-03-01,23:00:00,43.625281322982374,22.545337892413503,4.430904189103465,Non-Ideal Condition
2025-03-01,23:30:00,37.33589392465844,35.919568253328016,1.5641371050741255,Marginal Condition
2025-03-02,00:00:00,17.184550766934827,56.09323275798944,1.4517803717679563,Ideal Condition
2025-03-02,00:30:00,8.906884560255355,37.79359473235584,3.812159301917295,Non-Ideal Condition
2025-03-02,01:00:00,32.36932106048627,62.86544984427453,1.9400725088932629,Ideal Condition
2025-03-02,01:30:00,22.606099749584054,65.54031695131586,2.7772011158532646,Ideal Condition
2025-03-02,02:00:00,9.881529393791153,26.150957843988465,1.2312997938385533,Marginal Condition
2025-03-02,02:30:00,24.807076404450807,50.831267852406064,4.818855746578862,Non-Ideal Condition
2025-03-02,03:00:00,6.375540844608736,50.53343333546336,4.332116300077568,Non-Ideal Condition
2025-03-02,03:30:00,41.372816083151285,42.156846212932464,4.3870533033425145,Non-Ideal Condition
2025-03-02,04:00:00,15.351199264000677,75.97549175418033,2.330481868574023,Ideal Condition
2025-03-02,04:30:00,31.50089137415928,69.65037919239327,3.9306254616822778,Marginal Condition
2025-03-02,05:00:00,17.46844304357644,61.832562914578205,1.1474426992540108,Ideal Condition
2025-03-02,05:30:00,25.802720847112433,62.859598144099856,0.5387855116630113,Non-Ideal Condition
2025-03-02,06:00:00,26.868411173731186,47.70296862878715,0.5898781966011266,Marginal Condition
2025-03-02,06:30:00,12.394178221021082,75.25967126579455,3.139707818320522,Non-Ideal Condition
2025-03-02,07:00:00,43.783385110582344,61.675725635197125,2.5492770736157335,Marginal Condition
2025-03-02,07:30:00,36.00531293444458,63.73886369934899,2.831069070088339,Ideal Condition
2025-03-02,08:00:00,42.579957662567566,71.70145422724072,0.5335841318774873,Non-Ideal Condition
2025-03-02,08:30:00,40.79309401710595,36.444295360531456,2.4020897884584156,Marginal Condition
2025-03-02,09:00:00,28.915999152443405,68.42425423200217,3.731306725403874,Non-Ideal Condition
2025-03-02,09:30:00,41.87496940092467,31.714436177389523,2.4921216588534616,Marginal Condition
2025-03-02,10:00:00,8.53970008207678,40.72051713469327,3.794986428405,Non-Ideal Condition
2025-03-02,10:30:00,12.839314496765809,40.136627256190565,1.5485853397857565,Ideal Condition
2025-03-02,11:00:00,6.809091556421523,78.71152810334843,4.159139020167764,Non-Ideal Condition
2025-03-02,11:30:00,18.013213230530575,71.39223342487561,3.1479405820405355,Non-Ideal Condition
2025-03-02,12:00:00,20.54709158757928,62.07019169541559,1.448433947434578,Ideal Condition
2025-03-02,12:30:00,15.853961270955836,63.623405696923406,1.5652421413422481,Ideal Condition
2025-03-02,13:00:00,38.14950036607718,53.724367664154265,3.326137090562917,Marginal Condition
2025-03-02,13:30:00,19.270133067743572,76.82544002651115,4.234728169455995,Non-Ideal Condition
2025-03-02,14:00:00,16.23738038749523,49.77552517294169,2.370325019131198,Ideal Condition
